Lang_40 | StringUtils_34.java | OCHIAI: -1.0
Lang_40 | StringUtils_38.java | OCHIAI: -1.0
Lang_40 | StringUtils_42.java | OCHIAI: -1.0
Lang_40 | StringUtils_48.java | OCHIAI: -1.0
Lang_40 | StringUtils_43.java | OCHIAI: 0.0
Lang_40 | StringUtils_54.java | OCHIAI: -1.0
Lang_40 | StringUtils_20.java | OCHIAI: 0.0
Lang_40 | StringUtils_50.java | OCHIAI: -1.0
Lang_40 | StringUtils_60.java | OCHIAI: -1.0
Lang_40 | StringUtils_44.java | OCHIAI: -1.0
Lang_40 | StringUtils_23.java | OCHIAI: 0.0
Lang_40 | StringUtils_25.java | OCHIAI: -1.0
Lang_40 | StringUtils_30.java | OCHIAI: 0.0
Lang_40 | StringUtils_58.java | OCHIAI: -1.0
Lang_40 | StringUtils_33.java | OCHIAI: -1.0
Lang_40 | StringUtils_29.java | OCHIAI: -1.0
Lang_40 | StringUtils_53.java | OCHIAI: -1.0
Lang_40 | StringUtils_65.java | OCHIAI: -1.0
Lang_40 | StringUtils_32.java | OCHIAI: 0.0
Lang_40 | StringUtils_62.java | OCHIAI: 0.0
Lang_40 | StringUtils_51.java | OCHIAI: 0.0
Lang_40 | StringUtils_37.java | OCHIAI: -1.0
Lang_40 | StringUtils_41.java | OCHIAI: -1.0
Compress_40 | BitInputStream_1.java | OCHIAI: -1.0
Compress_40 | BitInputStream_2.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_70.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_181.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_168.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_27.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_65.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_28.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_95.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_167.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_155.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_82.java | OCHIAI: -1.0
JacksonDatabind_61 | ObjectMapper_81.java | OCHIAI: -1.0
